date,ticker_1,ticker_2,window,rolling_correlation
1989-10-05,COP,EOG,252,
1989-10-06,COP,EOG,252,
1989-10-09,COP,EOG,252,
1989-10-10,COP,EOG,252,
1989-10-11,COP,EOG,252,
1989-10-12,COP,EOG,252,
1989-10-13,COP,EOG,252,
1989-10-16,COP,EOG,252,
1989-10-17,COP,EOG,252,
1989-10-18,COP,EOG,252,
1989-10-19,COP,EOG,252,
1989-10-20,COP,EOG,252,
1989-10-23,COP,EOG,252,
1989-10-24,COP,EOG,252,
1989-10-25,COP,EOG,252,
1989-10-26,COP,EOG,252,
1989-10-27,COP,EOG,252,
1989-10-30,COP,EOG,252,
1989-10-31,COP,EOG,252,
1989-11-01,COP,EOG,252,
1989-11-02,COP,EOG,252,
1989-11-03,COP,EOG,252,
1989-11-06,COP,EOG,252,
1989-11-07,COP,EOG,252,
1989-11-08,COP,EOG,252,
1989-11-09,COP,EOG,252,
1989-11-10,COP,EOG,252,
1989-11-13,COP,EOG,252,
1989-11-14,COP,EOG,252,
1989-11-15,COP,EOG,252,
1989-11-16,COP,EOG,252,
1989-11-17,COP,EOG,252,
1989-11-20,COP,EOG,252,
1989-11-21,COP,EOG,252,
1989-11-22,COP,EOG,252,
1989-11-24,COP,EOG,252,
1989-11-27,COP,EOG,252,
1989-11-28,COP,EOG,252,
1989-11-29,COP,EOG,252,
1989-11-30,COP,EOG,252,
1989-12-01,COP,EOG,252,
1989-12-04,COP,EOG,252,
1989-12-05,COP,EOG,252,
1989-12-06,COP,EOG,252,
1989-12-07,COP,EOG,252,
1989-12-08,COP,EOG,252,
1989-12-11,COP,EOG,252,
1989-12-12,COP,EOG,252,
1989-12-13,COP,EOG,252,
1989-12-14,COP,EOG,252,
1989-12-15,COP,EOG,252,
1989-12-18,COP,EOG,252,
1989-12-19,COP,EOG,252,
1989-12-20,COP,EOG,252,
1989-12-21,COP,EOG,252,
1989-12-22,COP,EOG,252,
1989-12-26,COP,EOG,252,
1989-12-27,COP,EOG,252,
1989-12-28,COP,EOG,252,
1989-12-29,COP,EOG,252,
1990-01-02,COP,EOG,252,
1990-01-03,COP,EOG,252,
1990-01-04,COP,EOG,252,
1990-01-05,COP,EOG,252,
1990-01-08,COP,EOG,252,
1990-01-09,COP,EOG,252,
1990-01-10,COP,EOG,252,
1990-01-11,COP,EOG,252,
1990-01-12,COP,EOG,252,
1990-01-15,COP,EOG,252,
1990-01-16,COP,EOG,252,
1990-01-17,COP,EOG,252,
1990-01-18,COP,EOG,252,
1990-01-19,COP,EOG,252,
1990-01-22,COP,EOG,252,
1990-01-23,COP,EOG,252,
1990-01-24,COP,EOG,252,
1990-01-25,COP,EOG,252,
1990-01-26,COP,EOG,252,
1990-01-29,COP,EOG,252,
1990-01-30,COP,EOG,252,
1990-01-31,COP,EOG,252,
1990-02-01,COP,EOG,252,
1990-02-02,COP,EOG,252,
1990-02-05,COP,EOG,252,
1990-02-06,COP,EOG,252,
1990-02-07,COP,EOG,252,
1990-02-08,COP,EOG,252,
1990-02-09,COP,EOG,252,
1990-02-12,COP,EOG,252,
1990-02-13,COP,EOG,252,
1990-02-14,COP,EOG,252,
1990-02-15,COP,EOG,252,
1990-02-16,COP,EOG,252,
1990-02-20,COP,EOG,252,
1990-02-21,COP,EOG,252,
1990-02-22,COP,EOG,252,
1990-02-23,COP,EOG,252,
1990-02-26,COP,EOG,252,
1990-02-27,COP,EOG,252,
1990-02-28,COP,EOG,252,
1990-03-01,COP,EOG,252,
1990-03-02,COP,EOG,252,
1990-03-05,COP,EOG,252,
1990-03-06,COP,EOG,252,
1990-03-07,COP,EOG,252,
